"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Ukraine","UKR","Net financial account (BoP, current US$)","BN.FIN.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-638000000","-1072000000","-827000000","-2490000000","-2184000000","716000000","1418000000","1243000000","2309000000","2052000000","7060000000","2595000000","-1521000000","-5706000000","-12227000000","-794000000","-1477000000","-9161000000","-12902000000","-17218000000","-3663000000","",
"Ukraine","UKR","Net primary income (BoP, current US$)","BN.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-344000000","-434000000","-571000000","-644000000","-871000000","-869000000","-942000000","-667000000","-604000000","-581000000","-645000000","-985000000","-1722000000","-659000000","-1540000000","-2440000000","-2009000000","-3796000000","-2965000000","-3033000000","-1531000000","",
"Ukraine","UKR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1366000000","-1190000000","-1122000000","-1536000000","-1207000000","1821000000","1575000000","613000000","1857000000","1288000000","4978000000","674000000","-3070000000","-8131000000","-14368000000","-1957000000","-3982000000","-10145000000","-14346000000","-15634000000","-4606000000","",
"Ukraine","UKR","Net trade in goods (BoP, current US$)","BN.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2484000000","-2360000000","-4122000000","-4203000000","-3137000000","-321000000","-126000000","-667000000","-102000000","-118000000","2742000000","-2193000000","-6046000000","-11585000000","-17452000000","-5343000000","-9597000000","-18031000000","-21846000000","-22128000000","-7128000000","",
"Ukraine","UKR","Net errors and omissions (BoP, current US$)","BN.KAC.EOMS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","428000000","74000000","352000000","-1155000000","-885000000","-932000000","-63000000","-166000000","-890000000","-847000000","130000000","104000000","76000000","-480000000","526000000","343000000","1351000000","971000000","1393000000","-640000000","533000000","",
"Ukraine","UKR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-151000000","-257000000","-526000000","-581000000","-747000000","-489000000","-594000000","-769000000","-698000000","-1411000000","-1711000000","-7533000000","-5737000000","-9218000000","-9903000000","-4654000000","-5759000000","-7015000000","-7195000000","-4079000000","-299000000","",
"Ukraine","UKR","Portfolio Investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4000000","-198000000","-1603000000","-47000000","86000000","-138000000","45000000","-337000000","-867000000","-2067000000","-2757000000","-3583000000","-5753000000","1280000000","1533000000","-4342000000","-1569000000","-4689000000","-8787000000","2700000000","",
"Ukraine","UKR","Reserves and related items (BoP, current US$)","BN.RES.INCL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1199528642.41917","-1623755411.78813","-602750465.90599","-702694252.26021","-3456918318.50232","-184111695.70665","572792271.40871","993232101.99022","1230512250.76377","2172564569.93941","2523262478.30711","10724507635.2062","2409280197.64787","9406434874.01382","-3025219758.35515","-11714978953.9751","5044902813.07195","-2453994483.76759","-4174244356.24655","2004772811.46645","-13307894526.3733","",
"Ukraine","UKR","Net secondary income (BoP, current US$)","BN.TRF.CURR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547000000","472000000","509000000","845000000","782000000","706000000","848000000","1456000000","1921000000","2184000000","2576000000","2845000000","3173000000","3539000000","3127000000","2661000000","2975000000","3708000000","2976000000","2149000000","1541000000","",
"Ukraine","UKR","Net capital account (BoP, current US$)","BN.TRF.KOGT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97000000","6000000","5000000","","-3000000","-10000000","","7000000","25000000","8000000","21000000","-43000000","22000000","25000000","28000000","599000000","188000000","101000000","40000000","-60000000","400000000","",
"Ukraine","UKR","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365400000","524990000","117110000","217800000","64060000","255650000","162340000","184170000","124790000","296930000","209470000","114750000","137670000","182310000","208180000","228360000","297570000","402610000","402580000","351780000","400380000","429540000","457940000","818580000","",
"Ukraine","UKR","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900000","32470000","60100000","52150000","119070000","127370000","85890000","250080000","438530000","241310000","303000000","369420000","198890000","208070000","213500000","260810000","127350000","217520000","213830000","252400000","196360000","198250000","177700000","308640000","",
"Ukraine","UKR","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","466000000","396000000","468000000","555000000","321000000","416000000","418000000","304000000","350000000","461000000","693000000","789000000","1091000000","1661000000","2344000000","2143000000","3175000000","3812000000","4272000000","5021000000","4537000000","",
"Ukraine","UKR","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5131112686038","13.6787564766839","9.65744944283946","11.1692493459449","7.14762859051436","9.36093609360936","8.86344359626802","6.23845680279089","6.3567017798765","7.83880292467267","7.80581211984681","7.55602375023942","8.95657171004023","10.8960902650223","12.1501140369065","14.3382844908337","17.3241665302559","17.9227984390427","19.3399429580334","22.2040419227878","30.4823972050524","",
